ENT,NOM_ENT,MUN,NOM_MUN,LOC50K,NOM_LOC,ID_VIV,CLAVIVP,PAREDES,TECHOS,PISOS,COCINA,CUADORM,TOTCUART,ELECTRI,DISAGU,DOTAGUAD,SERSAN,USOEXC,CONAGU,DRENAJE,COMBUST,ELIBAS,TENVIV,FADQUI,ESTUFAG,ESTUFAL,TINACO,BOILER,CISTERNA,REGADERA,MEDLUZ,RADIO,TELEVI,REFRIG,LAVADORA,AUTOPROP,COMPU,TELEFONO,CELULAR,INTERNET,NUMINF,NUMPERS,TIPOHOG,MCONMIG,MNUMPERS,COMIO1VEZ,NOCOMI1D,SINCOMER,INGTRHOG,FACTOR,ESTRATO,UPM,TAM_LOC,CERTEZA,IDH125
01,Aguascalientes,001,Aguascalientes,0000,Localidad de menos de 50 mil habitantes,00068033,1,7,09,2,1,04,06,1,1,1,1,3,5,1,1,1,3,,1,3,1,3,2,3,1,1,3,1,3,1,3,1,3,1,02,00003,1,3,,2,4,2,007000,17,400-01-001-0003,0002,01,0,0
01,Aguascalientes,001,Aguascalientes,0000,Localidad de menos de 50 mil habitantes,00068039,1,8,09,3,1,03,06,1,1,1,1,3,5,1,1,1,1,3,1,4,2,3,2,3,1,1,3,1,3,2,4,1,4,2,01,00002,1,3,,2,4,2,,17,400-01-001-0003,0002,01,0,0
01,Aguascalientes,001,Aguascalientes,0000,Localidad de menos de 50 mil habitantes,00068042,1,7,09,2,1,03,06,1,1,1,1,3,6,1,1,1,1,3,1,3,2,3,2,3,1,1,3,1,3,2,3,2,4,2,01,00007,1,3,,2,4,2,005271,17,400-01-001-0003,0002,01,0,0
01,Aguascalientes,001,Aguascalientes,0000,Localidad de menos de 50 mil habitantes,00264407,1,7,09,3,3,02,02,3,1,2,1,3,7,5,3,4,2,,2,3,2,4,2,4,9,2,4,2,4,2,4,9,9,2,02,00012,4,9,,2,4,2,005871,30,401-01-001-0001,0006,01,0,0
01,Aguascalientes,001,Aguascalientes,0000,Localidad de menos de 50 mil habitantes,00275434,1,8,09,2,1,04,05,1,2,1,1,3,6,2,1,1,2,,1,3,1,4,1,4,1,1,3,1,3,1,3,2,3,1,01,00006,2,3,,2,4,2,011857,30,401-01-001-0001,0023,01,0,0
01,Aguascalientes,001,Aguascalientes,0000,Localidad de menos de 50 mil habitantes,00277894,1,7,09,2,3,02,02,1,5,,1,3,6,2,1,3,2,,1,3,2,4,2,4,1,1,3,1,3,1,4,2,4,2,02,00005,1,3,,2,4,2,003429,30,401-01-001-0001,0025,01,0,0
01,Aguascalientes,001,Aguascalientes,0000,Localidad de menos de 50 mil habitantes,00546217,1,7,03,1,1,06,07,3,1,5,3,,,5,3,7,1,3,1,3,1,4,2,4,2,1,3,2,4,1,4,2,4,2,01,00001,5,3,,2,4,2,000000,30,401-01-001-0001,0016,01,0,0
01,Aguascalientes,001,Aguascalientes,0000,Localidad de menos de 50 mil habitantes,00565014,1,8,09,2,1,02,04,1,1,1,3,,,5,3,7,1,3,1,9,9,9,9,9,9,9,3,1,3,1,4,2,4,2,,00005,2,3,,2,4,2,003000,30,401-01-001-0001,0021,01,0,0
01,Aguascalientes,001,Aguascalientes,0000,Localidad de menos de 50 mil habitantes,00565020,1,8,09,2,1,03,04,1,1,2,1,3,9,5,1,3,1,3,1,4,1,3,1,3,1,1,3,1,3,1,4,1,3,2,01,00004,1,1,01,2,4,2,011857,30,401-01-001-0001,0021,01,0,0
01,Aguascalientes,001,Aguascalientes,0000,Localidad de menos de 50 mil habitantes,00565026,9,8,09,3,1,02,02,1,2,3,3,,,3,3,1,3,,1,3,2,4,2,4,1,2,3,1,3,2,4,1,4,2,02,00005,1,3,,2,4,2,004286,30,401-01-001-0001,0021,01,0,0
01,Aguascalientes,001,Aguascalientes,0000,Localidad de menos de 50 mil habitantes,00565030,9,8,09,3,1,03,04,1,1,2,1,3,5,2,1,3,1,3,1,4,1,3,2,3,1,1,3,1,3,1,4,2,3,2,02,00005,1,3,,2,4,2,010286,30,401-01-001-0001,0021,01,0,0
01,Aguascalientes,001,Aguascalientes,0000,Localidad de menos de 50 mil habitantes,00565031,1,8,09,2,1,03,05,1,1,2,1,3,5,2,1,3,1,3,1,4,1,3,1,3,1,1,3,1,3,1,4,2,3,2,03,00006,1,3,,2,4,2,008143,30,401-01-001-0001,0021,01,0,0
01,Aguascalientes,001,Aguascalientes,0000,Localidad de menos de 50 mil habitantes,00565036,1,8,09,2,1,03,05,1,1,2,1,1,5,2,1,1,1,3,1,4,1,3,2,3,1,1,3,1,3,1,3,1,3,2,01,00005,1,9,,2,4,2,010972,30,401-01-001-0001,0021,01,0,0
